feature_name,rf_intrinsic_importance
time_decayed_churn,0.4435905813555603
historical_bug_density,0.2970791584914564
time_since_last_bug_fix,0.25656101588726743
language_typescript,0.0010322030140426921
language_python,0.0007757831749932181
language_javascript,0.0005452272017012974
language_java,0.00041603087497860765
complexity,0.0
recent_churn,0.0
loc,0.0
contributor_entropy,0.0
ownership_concentration,0.0
repository_age_days,0.0
commit_frequency,0.0
contributor_count,0.0
modification_count,0.0
commit_count,0.0
bus_factor,0.0
